"No.","Time","Delta","Source","Destination","Protocol","Length","Info"
"13","0.428802","0.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"37","1.428799","0.999997","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"61","2.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"85","3.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"109","4.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"133","5.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"157","6.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"182","7.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"206","8.428799","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"230","9.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"254","10.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"278","11.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"302","12.428798","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"326","13.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"350","14.428796","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"374","15.428798","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"398","16.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"423","17.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"444","18.428796","0.999997","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"468","19.428799","1.000003","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"492","20.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"516","21.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"540","22.428798","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"564","23.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"588","24.428799","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"612","25.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"636","26.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"661","27.428800","1.000003","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
"685","28.428797","0.999997","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","143",""
